date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
1998-10-01;181.97;121.02;154.09;170.59;131.75;186.43;109.87;219.62;172.71
1998-11-01;44.7;180.81;54.13;53.88;177.0;76.01;190.81;283.22;168.26
1998-12-01;136.4;207.9;142.56;236.72;209.87;158.93;204.07;223.8;204.2
1999-01-01;85.87;165.91;148.31;306.21;194.06;268.56;184.41;325.37;204.94
1999-02-01;136.36;162.95;153.96;231.08;164.64;203.39;147.1;281.63;151.38
1999-03-01;112.53;206.34;78.01;154.77;218.55;162.32;186.7;269.17;202.46
1999-04-01;196.2;15.37;170.33;80.39;16.8;78.02;35.66;100.29;30.11
1999-05-01;165.85;7.83;102.81;39.79;5.27;34.4;31.86;36.4;5.6
1999-06-01;120.3;6.65;91.17;60.92;9.6;70.84;1.56;9.93;15.61
1999-07-01;194.06;3.27;190.86;22.41;4.65;22.47;0.17;2.56;5.9
1999-08-01;37.2;0.0;37.75;5.58;0.0;11.25;0.0;2.89;1.04
1999-09-01;169.5;30.55;125.21;77.76;37.5;75.47;52.81;146.0;37.04
1999-10-01;195.61;105.36;149.26;51.53;106.64;43.08;176.33;146.01;83.12
1999-11-01;85.8;205.77;93.78;79.57;203.1;100.82;247.76;256.93;200.87
1999-12-01;101.99;284.41;125.39;188.78;270.63;210.06;306.15;323.57;267.13
2000-01-01;155.31;257.28;169.64;299.98;287.99;252.06;261.82;310.4;314.94
2000-02-01;87.87;187.58;154.84;236.78;200.1;193.14;278.51;337.76;185.29
2000-03-01;253.58;225.06;143.5;167.03;225.06;154.37;225.25;354.16;200.54
2000-04-01;107.1;52.33;94.12;15.61;57.0;33.48;93.46;127.19;43.78
2000-05-01;132.99;1.58;92.43;18.33;2.17;18.33;4.69;6.03;4.63
2000-06-01;222.0;0.2;169.2;17.6;0.3;8.86;0.42;0.78;1.33
2000-07-01;138.57;3.76;140.11;42.91;4.65;43.82;2.65;5.94;10.24
2000-08-01;91.76;20.64;105.32;66.23;20.15;60.63;27.31;29.16;23.34
2000-09-01;202.8;78.02;268.74;145.35;94.5;115.58;88.09;87.42;88.8
2000-10-01;282.1;52.82;239.41;65.35;40.61;63.31;91.8;182.71;51.45
